n_batch:425,phase:    train,avg_loss:4.736e-01, avg_error_rate:8.418e+01
n_batch:430,phase:    train,avg_loss:4.728e-01, avg_error_rate:8.416e+01
n_batch:435,phase:    train,avg_loss:4.719e-01, avg_error_rate:8.412e+01
n_batch:440,phase:    train,avg_loss:4.711e-01, avg_error_rate:8.411e+01
n_batch:445,phase:    train,avg_loss:4.703e-01, avg_error_rate:8.409e+01
n_batch:450,phase:    train,avg_loss:4.696e-01, avg_error_rate:8.408e+01
n_batch:455,phase:    train,avg_loss:4.689e-01, avg_error_rate:8.407e+01
n_batch:460,phase:    train,avg_loss:4.682e-01, avg_error_rate:8.403e+01
n_batch:465,phase:    train,avg_loss:4.674e-01, avg_error_rate:8.403e+01
n_batch:470,phase:    train,avg_loss:4.667e-01, avg_error_rate:8.401e+01
n_batch:475,phase:    train,avg_loss:4.660e-01, avg_error_rate:8.399e+01
n_batch:480,phase:    train,avg_loss:4.653e-01, avg_error_rate:8.396e+01
n_batch:485,phase:    train,avg_loss:4.645e-01, avg_error_rate:8.394e+01
n_batch:490,phase:    train,avg_loss:4.637e-01, avg_error_rate:8.393e+01
n_batch:495,phase:    train,avg_loss:4.631e-01, avg_error_rate:8.391e+01
n_batch:500,phase:    train,avg_loss:4.623e-01, avg_error_rate:8.389e+01
n_batch:505,phase:    train,avg_loss:4.617e-01, avg_error_rate:8.387e+01
n_batch:510,phase:    train,avg_loss:4.610e-01, avg_error_rate:8.384e+01
n_batch:515,phase:    train,avg_loss:4.604e-01, avg_error_rate:8.383e+01
n_batch:520,phase:    train,avg_loss:4.598e-01, avg_error_rate:8.383e+01
n_batch:525,phase:    train,avg_loss:4.593e-01, avg_error_rate:8.382e+01
n_batch:530,phase:    train,avg_loss:4.586e-01, avg_error_rate:8.382e+01
n_batch:535,phase:    train,avg_loss:4.581e-01, avg_error_rate:8.380e+01
n_batch:540,phase:    train,avg_loss:4.573e-01, avg_error_rate:8.379e+01
n_batch:545,phase:    train,avg_loss:4.568e-01, avg_error_rate:8.378e+01
n_batch:550,phase:    train,avg_loss:4.562e-01, avg_error_rate:8.377e+01
n_batch:555,phase:    train,avg_loss:4.557e-01, avg_error_rate:8.373e+01
n_batch:560,phase:    train,avg_loss:4.551e-01, avg_error_rate:8.374e+01
n_batch:565,phase:    train,avg_loss:4.546e-01, avg_error_rate:8.372e+01
n_batch:570,phase:    train,avg_loss:4.540e-01, avg_error_rate:8.370e+01
n_batch:575,phase:    train,avg_loss:4.535e-01, avg_error_rate:8.369e+01
n_batch:580,phase:    train,avg_loss:4.531e-01, avg_error_rate:8.369e+01
n_batch:585,phase:    train,avg_loss:4.525e-01, avg_error_rate:8.367e+01
n_batch:590,phase:    train,avg_loss:4.520e-01, avg_error_rate:8.366e+01
n_batch:595,phase:    train,avg_loss:4.516e-01, avg_error_rate:8.364e+01
n_batch:600,phase:    train,avg_loss:4.511e-01, avg_error_rate:8.364e+01
n_batch:605,phase:    train,avg_loss:4.507e-01, avg_error_rate:8.363e+01
n_batch:610,phase:    train,avg_loss:4.503e-01, avg_error_rate:8.363e+01
n_batch:615,phase:    train,avg_loss:4.498e-01, avg_error_rate:8.361e+01
n_batch:620,phase:    train,avg_loss:4.494e-01, avg_error_rate:8.361e+01
n_batch:625,phase:    train,avg_loss:4.489e-01, avg_error_rate:8.360e+01
n_batch:630,phase:    train,avg_loss:4.484e-01, avg_error_rate:8.358e+01
n_batch:635,phase:    train,avg_loss:4.479e-01, avg_error_rate:8.358e+01
n_batch:640,phase:    train,avg_loss:4.475e-01, avg_error_rate:8.359e+01
n_batch:645,phase:    train,avg_loss:4.471e-01, avg_error_rate:8.361e+01
n_batch:650,phase:    train,avg_loss:4.466e-01, avg_error_rate:8.363e+01
n_batch:655,phase:    train,avg_loss:4.461e-01, avg_error_rate:8.367e+01
n_batch:660,phase:    train,avg_loss:4.457e-01, avg_error_rate:8.371e+01
n_batch:665,phase:    train,avg_loss:4.451e-01, avg_error_rate:8.373e+01
n_batch:670,phase:    train,avg_loss:4.447e-01, avg_error_rate:8.375e+01
n_batch:675,phase:    train,avg_loss:4.442e-01, avg_error_rate:8.377e+01
n_batch:680,phase:    train,avg_loss:4.437e-01, avg_error_rate:8.381e+01
n_batch:685,phase:    train,avg_loss:4.433e-01, avg_error_rate:8.384e+01
n_batch:690,phase:    train,avg_loss:4.429e-01, avg_error_rate:8.387e+01
n_batch:695,phase:    train,avg_loss:4.424e-01, avg_error_rate:8.390e+01
n_batch:700,phase:    train,avg_loss:4.421e-01, avg_error_rate:8.393e+01
n_batch:705,phase:    train,avg_loss:4.416e-01, avg_error_rate:8.395e+01
n_batch:710,phase:    train,avg_loss:4.411e-01, avg_error_rate:8.399e+01
n_batch:715,phase:    train,avg_loss:4.407e-01, avg_error_rate:8.402e+01
n_batch:720,phase:    train,avg_loss:4.403e-01, avg_error_rate:8.403e+01
n_batch:725,phase:    train,avg_loss:4.399e-01, avg_error_rate:8.406e+01
n_batch:730,phase:    train,avg_loss:4.395e-01, avg_error_rate:8.409e+01
n_batch:735,phase:    train,avg_loss:4.391e-01, avg_error_rate:8.413e+01
n_batch:740,phase:    train,avg_loss:4.388e-01, avg_error_rate:8.416e+01
n_batch:745,phase:    train,avg_loss:4.383e-01, avg_error_rate:8.417e+01
n_batch:750,phase:    train,avg_loss:4.379e-01, avg_error_rate:8.420e+01
n_batch:755,phase:    train,avg_loss:4.376e-01, avg_error_rate:8.421e+01
n_batch:760,phase:    train,avg_loss:4.372e-01, avg_error_rate:8.424e+01
n_batch:765,phase:    train,avg_loss:4.368e-01, avg_error_rate:8.426e+01
n_batch:770,phase:    train,avg_loss:4.365e-01, avg_error_rate:8.429e+01
n_batch:775,phase:    train,avg_loss:4.361e-01, avg_error_rate:8.432e+01
n_batch:780,phase:    train,avg_loss:4.358e-01, avg_error_rate:8.434e+01
n_batch:785,phase:    train,avg_loss:4.354e-01, avg_error_rate:8.435e+01
n_batch:790,phase:    train,avg_loss:4.351e-01, avg_error_rate:8.437e+01
n_batch:795,phase:    train,avg_loss:4.347e-01, avg_error_rate:8.438e+01
n_batch:800,phase:    train,avg_loss:4.343e-01, avg_error_rate:8.439e+01
n_batch:805,phase:    train,avg_loss:4.339e-01, avg_error_rate:8.440e+01
n_batch:810,phase:    train,avg_loss:4.336e-01, avg_error_rate:8.441e+01
n_batch:815,phase:    train,avg_loss:4.332e-01, avg_error_rate:8.442e+01
n_batch:820,phase:    train,avg_loss:4.328e-01, avg_error_rate:8.443e+01
n_batch:825,phase:    train,avg_loss:4.325e-01, avg_error_rate:8.445e+01
n_batch:830,phase:    train,avg_loss:4.321e-01, avg_error_rate:8.446e+01
n_batch:835,phase:    train,avg_loss:4.318e-01, avg_error_rate:8.448e+01
n_batch:840,phase:    train,avg_loss:4.315e-01, avg_error_rate:8.450e+01
n_batch:845,phase:    train,avg_loss:4.312e-01, avg_error_rate:8.451e+01
n_batch:850,phase:    train,avg_loss:4.309e-01, avg_error_rate:8.452e+01
n_batch:855,phase:    train,avg_loss:4.305e-01, avg_error_rate:8.453e+01
n_batch:860,phase:    train,avg_loss:4.302e-01, avg_error_rate:8.453e+01
n_batch:865,phase:    train,avg_loss:4.300e-01, avg_error_rate:8.454e+01
n_batch:870,phase:    train,avg_loss:4.297e-01, avg_error_rate:8.455e+01
